"id","city_id","data","temperatura","umidade"
1,1,"2021-01-01","22.4401081198156","16.7181233438989"
2,1,"2021-02-01","21.8474042455001","16.8899636677409"
3,1,"2021-03-01","21.1578439065011","16.6871602840097"
4,1,"2021-04-01","18.7020692110325","12.5112487275527"
5,1,"2021-05-01","17.273529606849","11.1321209283759"
6,1,"2021-06-01","15.622133536164","10.985290010971"
7,1,"2021-07-01","13.6529718629615","5.84820926803276"
8,1,"2021-08-01","17.1036760764746","9.29618250976492"
9,1,"2021-09-01","21.4081537038146","12.4295327521845"
10,1,"2021-10-01","20.5614806737735","15.4801128384765"
11,1,"2021-11-01","20.5760511008986","14.6484032331445"
12,1,"2021-12-01","19.5641380451354","15.9299526883643"
13,1,"2022-01-01","21.4329588537504","17.4895746554651"
14,1,"2022-02-01","21.7920170138859","17.3754117133519"
15,1,"2022-03-01","21.2395192635802","16.4473465750526"
16,1,"2022-04-01","18.0803507772309","14.7202475365456"
17,1,"2022-05-01","14.7639093462459","10.0474989921025"
18,1,"2022-06-01","14.3999369200626","10.116074811766"
19,1,"2022-07-01","16.8181530823855","8.8498880543474"
20,1,"2022-08-01","17.0185068654268","9.08471068439693"
21,1,"2022-09-01","18.2887100882185","11.3185481050732"
22,1,"2022-10-01","20.9003095681252","15.0921822046491"
23,1,"2022-11-01","18.9913505768796","14.0044460411347"
24,1,"2022-12-01","20.960377251057","16.3090726799227"
25,1,"2023-01-01","21.6427744055308","17.3551608030371"
